"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 11, 2020","50.72","50.76","50.91","50.63","38.03M","-0.70%"
"Dec 10, 2020","51.08","50.37","51.14","50.34","35.83M","1.29%"
"Dec 09, 2020","50.43","51.03","51.03","50.19","40.61M","-0.86%"
"Dec 08, 2020","50.87","50.79","50.87","50.63","28.58M","0.04%"
"Dec 07, 2020","50.85","50.78","50.99","50.65","42.85M","0.00%"
"Dec 04, 2020","50.85","50.72","50.88","50.63","42.23M","1.03%"
"Dec 03, 2020","50.33","50.23","50.58","50.19","60.47M","1.15%"
"Dec 02, 2020","49.76","49.61","49.86","49.42","42.55M","0.14%"
"Dec 01, 2020","49.69","49.59","49.88","49.35","50.33M","1.97%"
"Nov 30, 2020","48.73","49.31","49.31","48.71","56.78M","-2.62%"
"Nov 27, 2020","50.04","49.95","50.17","49.91","27.04M","0.95%"
"Nov 25, 2020","49.57","49.40","49.60","49.26","47.36M","-0.56%"
"Nov 24, 2020","49.85","49.60","49.88","49.34","39.23M","1.34%"
"Nov 23, 2020","49.19","49.58","49.60","49.08","37.79M","0.26%"
"Nov 20, 2020","49.06","48.90","49.20","48.85","35.26M","0.55%"
"Nov 19, 2020","48.79","48.48","48.85","48.38","27.32M","0.16%"
"Nov 18, 2020","48.71","49.09","49.10","48.70","32.34M","-0.35%"
"Nov 17, 2020","48.88","48.63","49.01","48.56","33.54M","-0.10%"
"Nov 16, 2020","48.93","48.85","49.09","48.76","61.61M","1.24%"
"Nov 13, 2020","48.33","48.24","48.36","47.99","48.16M","1.41%"
"Nov 12, 2020","47.66","48.14","48.31","47.54","40.80M","-0.75%"
"Nov 11, 2020","48.02","47.63","48.10","47.56","46.27M","0.65%"
"Nov 10, 2020","47.71","48.07","48.19","47.50","67.29M","-1.14%"
"Nov 09, 2020","48.26","49.48","49.53","48.24","74.18M","0.69%"
"Nov 06, 2020","47.93","47.67","48.11","47.54","57.35M","0.46%"
"Nov 05, 2020","47.71","47.71","47.91","47.31","77.48M","1.71%"
"Nov 04, 2020","46.91","46.09","47.09","46.00","80.49M","3.14%"
"Nov 03, 2020","45.48","45.36","45.60","45.18","49.58M","0.44%"
"Nov 02, 2020","45.28","45.18","45.30","44.92","51.00M","1.27%"
"Oct 30, 2020","44.71","44.85","44.92","44.41","66.16M","-1.13%"
"Oct 29, 2020","45.22","44.94","45.37","44.78","44.56M","1.01%"
"Oct 28, 2020","44.77","45.19","45.25","44.73","67.04M","-2.50%"
"Oct 27, 2020","45.92","45.85","46.05","45.69","40.66M","0.44%"
"Oct 26, 2020","45.72","45.77","46.04","45.35","53.57M","-1.30%"
"Oct 23, 2020","46.32","46.09","46.32","45.87","36.93M","0.59%"
"Oct 22, 2020","46.05","46.13","46.17","45.82","41.88M","-0.02%"
"Oct 21, 2020","46.06","46.00","46.31","45.94","43.07M","0.28%"
"Oct 20, 2020","45.93","45.71","46.17","45.69","51.63M","1.10%"
"Oct 19, 2020","45.43","45.70","45.89","45.34","30.85M","-0.29%"
"Oct 16, 2020","45.56","45.56","45.69","45.41","31.61M","0.35%"
"Oct 15, 2020","45.40","45.03","45.44","45.03","41.13M","-0.72%"
"Oct 14, 2020","45.73","46.02","46.14","45.72","42.30M","-0.67%"
"Oct 13, 2020","46.04","46.05","46.10","45.80","35.58M","-0.41%"
"Oct 12, 2020","46.23","46.08","46.33","45.98","40.04M","0.87%"
"Oct 11, 2020","45.83","45.83","45.83","45.83","-","0.00%"
"Oct 09, 2020","45.83","45.63","45.96","45.50","31.90M","0.68%"
"Oct 08, 2020","45.52","45.32","45.57","45.22","29.67M","0.82%"
"Oct 07, 2020","45.15","45.08","45.28","44.95","45.69M","1.10%"
"Oct 06, 2020","44.66","44.72","45.00","44.51","43.46M","0.18%"
"Oct 05, 2020","44.58","44.25","44.58","44.23","36.06M","1.34%"
"Oct 04, 2020","43.99","43.99","43.99","43.99","-","0.00%"
"Oct 03, 2020","43.99","43.99","43.99","43.99","-","0.00%"
"Oct 02, 2020","43.99","43.84","44.37","43.79","32.65M","-1.15%"
"Oct 01, 2020","44.50","44.41","44.52","44.16","51.52M","0.93%"
"Sep 30, 2020","44.09","43.73","44.21","43.70","48.67M","1.61%"
"Sep 29, 2020","43.39","43.29","43.53","43.25","25.33M","-0.07%"
"Sep 28, 2020","43.42","42.94","43.60","42.94","45.53M","1.12%"
"Sep 27, 2020","42.94","42.94","42.94","42.94","-","0.00%"
"Sep 26, 2020","42.94","42.94","42.94","42.94","-","0.00%"
"Sep 25, 2020","42.94","42.55","42.96","42.29","44.17M","0.09%"
"Sep 24, 2020","42.90","42.49","43.20","42.44","46.49M","-0.46%"
"Sep 23, 2020","43.10","43.64","43.73","43.06","40.84M","-1.55%"
"Sep 22, 2020","43.78","43.95","43.96","43.42","44.88M","-0.75%"
"Sep 21, 2020","44.11","43.75","44.14","43.39","42.90M","-0.92%"
"Sep 18, 2020","44.52","44.91","44.95","44.45","34.27M","-0.78%"
