"Date","Price","Open","High","Low","Change %"
"May 11, 2020","389.419","389.423","390.815","388.834","-0.00%"
"May 10, 2020","389.422","387.981","389.511","387.492","0.40%"
"May 08, 2020","387.869","391.334","396.334","387.869","-0.87%"
"May 07, 2020","391.290","391.159","396.080","385.602","0.03%"
"May 06, 2020","391.174","388.160","392.943","387.319","0.78%"
"May 05, 2020","388.141","386.161","389.609","382.808","0.51%"
"May 04, 2020","386.161","383.684","387.529","382.732","0.65%"
"May 03, 2020","383.668","383.462","383.829","381.796","-0.02%"
"May 01, 2020","383.740","379.412","384.407","375.432","1.14%"
"Apr 30, 2020","379.430","383.024","386.358","377.912","-0.96%"
"Apr 29, 2020","383.093","383.056","384.694","379.880","0.00%"
"Apr 28, 2020","383.076","384.011","385.546","380.533","-0.25%"
"Apr 27, 2020","384.019","386.498","387.053","383.402","-0.64%"
"Apr 26, 2020","386.503","386.292","386.649","385.110","-0.12%"
"Apr 24, 2020","386.980","386.571","389.512","384.613","0.09%"
"Apr 23, 2020","386.614","384.237","388.118","383.539","0.63%"
"Apr 22, 2020","384.184","378.583","386.233","376.594","1.48%"
"Apr 21, 2020","378.573","377.477","380.085","372.427","0.30%"
"Apr 20, 2020","377.447","372.146","380.421","370.168","1.44%"
"Apr 19, 2020","372.088","374.196","374.646","371.781","-0.80%"
"Apr 17, 2020","375.094","381.896","383.161","370.238","-1.78%"
"Apr 16, 2020","381.891","380.847","387.545","379.447","0.27%"
"Apr 15, 2020","380.865","378.412","383.097","375.928","0.65%"
"Apr 14, 2020","378.413","374.217","381.909","372.742","1.12%"
"Apr 13, 2020","374.234","364.711","376.297","362.966","2.62%"
"Apr 12, 2020","364.675","364.989","365.972","362.522","0.90%"
"Apr 09, 2020","361.430","358.775","362.126","357.650","0.73%"
"Apr 08, 2020","358.812","358.587","361.207","357.415","0.07%"
"Apr 07, 2020","358.571","362.243","362.730","355.453","-1.01%"
"Apr 06, 2020","362.220","351.126","364.430","349.754","3.16%"
"Apr 05, 2020","351.136","348.880","351.254","348.316","0.28%"
"Apr 03, 2020","350.141","344.140","351.861","343.202","1.74%"
"Apr 02, 2020","344.143","343.317","345.739","339.357","0.22%"
"Apr 01, 2020","343.381","335.903","344.277","335.480","2.22%"
"Mar 31, 2020","335.908","341.588","343.243","333.960","-1.66%"
"Mar 30, 2020","341.589","338.250","343.722","335.624","0.98%"
"Mar 29, 2020","338.261","338.317","339.401","337.182","0.31%"
"Mar 27, 2020","337.217","334.721","338.435","333.718","0.76%"
"Mar 26, 2020","334.688","332.488","337.911","316.808","0.67%"
"Mar 25, 2020","332.446","338.323","339.064","328.971","-1.74%"
"Mar 24, 2020","338.323","329.899","339.573","326.874","2.56%"
"Mar 23, 2020","329.885","314.872","330.534","313.718","4.77%"
"Mar 22, 2020","314.856","317.568","317.767","313.224","-0.22%"
"Mar 20, 2020","315.557","309.755","316.430","309.617","1.88%"
"Mar 19, 2020","309.735","312.010","313.240","305.876","-0.71%"
"Mar 18, 2020","311.937","316.482","317.363","307.318","-1.43%"
"Mar 17, 2020","316.469","311.547","320.442","305.064","1.58%"
"Mar 16, 2020","311.548","315.167","315.816","299.141","-1.14%"
"Mar 15, 2020","315.138","315.001","318.539","312.330","1.19%"
"Mar 13, 2020","311.420","320.273","323.362","306.331","-2.77%"
"Mar 12, 2020","320.294","328.277","330.220","316.439","-2.44%"
"Mar 11, 2020","328.295","328.031","332.066","325.937","0.08%"
"Mar 10, 2020","328.036","329.894","330.865","325.003","-0.56%"
"Mar 09, 2020","329.898","334.922","339.031","326.064","-1.49%"
"Mar 08, 2020","334.901","333.383","336.590","331.000","2.00%"
"Mar 06, 2020","328.329","328.715","331.711","322.067","-0.12%"
"Mar 05, 2020","328.710","320.047","329.470","319.492","2.71%"
"Mar 04, 2020","320.046","323.412","324.520","319.340","-1.07%"
"Mar 03, 2020","323.495","315.842","324.534","315.724","2.40%"
"Mar 02, 2020","315.910","318.542","323.762","313.842","-0.84%"
"Mar 01, 2020","318.573","319.847","320.067","316.720","0.11%"
"Feb 28, 2020","318.226","328.574","329.240","313.669","-3.14%"
"Feb 27, 2020","328.557","325.552","330.269","325.204","0.90%"
"Feb 26, 2020","325.620","324.118","327.545","321.819","0.45%"
"Feb 25, 2020","324.164","325.352","327.801","319.419","-0.35%"
"Feb 24, 2020","325.291","327.422","334.192","324.788","-0.65%"
"Feb 23, 2020","327.415","325.587","330.176","325.219","1.60%"
"Feb 21, 2020","322.265","318.323","324.216","317.736","1.24%"
"Feb 20, 2020","318.313","315.005","318.782","314.035","1.04%"
"Feb 19, 2020","315.022","312.162","315.538","311.932","0.92%"
"Feb 18, 2020","312.161","308.057","312.754","308.045","1.34%"
"Feb 17, 2020","308.048","308.305","308.419","306.768","-0.07%"
"Feb 16, 2020","308.277","308.022","308.293","307.794","-0.07%"
"Feb 14, 2020","308.493","306.398","308.627","305.639","0.68%"
"Feb 13, 2020","306.409","305.148","307.183","304.977","0.42%"
"Feb 12, 2020","305.121","303.207","305.644","301.894","0.62%"
"Feb 11, 2020","303.229","303.611","305.363","302.046","-0.13%"
"Feb 10, 2020","303.626","303.236","305.344","301.843","0.12%"
"Feb 09, 2020","303.254","302.750","303.854","302.179","-0.11%"
"Feb 07, 2020","303.577","301.471","305.952","300.792","0.70%"
"Feb 06, 2020","301.471","299.332","301.884","298.677","0.73%"
"Feb 05, 2020","299.297","298.777","300.695","297.794","0.17%"
"Feb 04, 2020","298.803","303.795","303.926","297.340","-1.65%"
"Feb 03, 2020","303.807","305.562","305.647","302.245","-0.57%"
"Feb 02, 2020","305.546","305.674","306.132","305.364","-0.02%"
"Jan 31, 2020","305.612","302.742","305.937","301.906","0.95%"
"Jan 30, 2020","302.750","302.251","305.135","302.059","0.17%"
"Jan 29, 2020","302.245","299.656","302.514","298.677","0.86%"
"Jan 28, 2020","299.657","302.146","302.687","298.988","-0.82%"
"Jan 27, 2020","302.134","302.616","303.376","301.105","-0.15%"
"Jan 26, 2020","302.591","302.123","303.786","302.123","0.84%"
"Jan 24, 2020","300.083","297.611","301.171","297.005","0.83%"
"Jan 23, 2020","297.615","297.282","299.567","295.145","0.11%"
"Jan 22, 2020","297.299","296.991","297.733","295.859","0.10%"
"Jan 21, 2020","296.996","296.901","298.786","294.857","0.04%"
"Jan 20, 2020","296.889","295.089","297.044","294.957","0.61%"
"Jan 19, 2020","295.090","295.436","295.524","294.989","0.12%"
"Jan 17, 2020","294.737","292.330","295.921","291.822","0.83%"
"Jan 16, 2020","292.307","294.109","294.437","291.608","-0.61%"
"Jan 15, 2020","294.102","293.321","294.701","292.524","0.27%"
"Jan 14, 2020","293.320","291.430","293.404","289.722","0.65%"
"Jan 13, 2020","291.424","294.717","294.839","291.367","-1.11%"
"Jan 12, 2020","294.694","294.822","294.942","294.474","-0.18%"
"Jan 10, 2020","295.234","293.544","295.364","291.984","0.58%"
"Jan 09, 2020","293.540","296.081","296.855","291.408","-0.86%"
"Jan 08, 2020","296.072","306.481","309.727","294.777","-3.40%"
"Jan 07, 2020","306.494","300.176","307.052","298.521","2.10%"
"Jan 06, 2020","300.177","301.206","303.438","299.500","-0.35%"
"Jan 05, 2020","301.218","300.737","304.721","300.737","1.09%"
"Jan 03, 2020","297.960","292.844","298.495","292.844","1.75%"
"Jan 02, 2020","292.842","290.356","293.185","290.185","0.86%"
"Jan 01, 2020","290.352","290.727","290.945","290.331","0.01%"
"Dec 31, 2019","290.320","289.774","291.737","289.759","0.19%"
"Dec 30, 2019","289.774","289.525","289.963","288.919","0.09%"
"Dec 29, 2019","289.525","289.152","289.619","289.065","0.15%"
"Dec 27, 2019","289.095","288.258","290.269","287.765","0.29%"
"Dec 26, 2019","288.258","286.317","288.765","285.985","0.68%"
"Dec 25, 2019","286.302","286.251","286.418","285.896","-0.18%"
"Dec 24, 2019","286.810","284.085","287.026","283.856","0.96%"
"Dec 23, 2019","284.074","282.305","284.259","282.303","0.63%"
"Dec 22, 2019","282.303","282.236","282.355","282.141","0.02%"
"Dec 20, 2019","282.251","282.436","282.733","280.822","-0.06%"
"Dec 19, 2019","282.430","281.132","283.106","280.399","0.46%"
"Dec 18, 2019","281.133","279.282","281.503","279.175","0.66%"
"Dec 17, 2019","279.280","277.491","279.854","277.303","0.65%"
"Dec 16, 2019","277.488","275.382","278.493","275.221","0.76%"
"Dec 15, 2019","275.382","275.706","275.706","275.330","-0.11%"
"Dec 13, 2019","275.680","272.003","276.670","271.943","1.37%"
"Dec 12, 2019","271.966","275.127","276.263","271.617","-1.15%"
"Dec 11, 2019","275.126","273.272","275.783","272.748","0.68%"
"Dec 10, 2019","273.279","272.987","274.074","272.738","0.11%"
"Dec 09, 2019","272.989","271.363","273.557","271.211","0.60%"
"Dec 08, 2019","271.366","271.178","271.377","271.145","0.01%"
"Dec 06, 2019","271.347","272.847","273.961","270.858","-0.55%"
"Dec 05, 2019","272.850","272.729","273.774","272.298","0.04%"
"Dec 04, 2019","272.733","272.693","274.429","271.977","0.02%"
"Dec 03, 2019","272.678","270.046","274.322","269.671","0.97%"
"Dec 02, 2019","270.049","270.219","270.725","268.592","-0.07%"
"Dec 01, 2019","270.225","270.454","270.455","270.185","-0.12%"
"Nov 29, 2019","270.543","269.668","271.070","268.729","0.33%"
"Nov 28, 2019","269.663","270.750","270.988","269.474","-0.41%"
"Nov 27, 2019","270.770","270.523","271.043","269.739","0.09%"
"Nov 26, 2019","270.537","268.409","271.185","267.997","0.79%"
"Nov 25, 2019","268.414","268.438","269.786","267.446","-0.00%"
"Nov 24, 2019","268.426","268.509","268.600","268.325","-0.05%"
"Nov 22, 2019","268.573","268.440","270.345","268.103","0.05%"
"Nov 21, 2019","268.451","270.239","270.518","267.732","-0.66%"
"Nov 20, 2019","270.225","270.404","271.545","268.711","-0.06%"
"Nov 19, 2019","270.390","271.260","272.156","268.832","-0.32%"
"Nov 18, 2019","271.260","271.449","271.787","268.099","-0.07%"
"Nov 17, 2019","271.447","271.282","271.561","271.163","0.08%"
"Nov 15, 2019","271.220","271.719","272.099","270.306","-0.18%"
"Nov 14, 2019","271.702","270.887","273.115","270.858","0.30%"
"Nov 13, 2019","270.898","270.765","271.758","269.610","0.05%"
"Nov 12, 2019","270.759","270.099","271.307","268.550","0.24%"
"Nov 11, 2019","270.124","270.940","272.987","268.799","-0.30%"
"Nov 10, 2019","270.937","270.682","270.983","270.601","0.14%"
"Nov 08, 2019","270.559","271.700","272.704","269.357","-0.42%"
"Nov 07, 2019","271.705","275.603","276.385","269.598","-1.41%"
"Nov 06, 2019","275.603","274.672","276.973","274.385","0.35%"
"Nov 05, 2019","274.654","277.816","278.317","273.882","-1.14%"
"Nov 04, 2019","277.817","277.583","278.794","276.104","0.09%"
"Nov 03, 2019","277.566","277.524","277.628","277.436","-0.26%"
"Nov 01, 2019","278.295","277.741","279.318","276.549","0.21%"
"Oct 31, 2019","277.711","274.168","278.384","273.901","1.29%"
"Oct 30, 2019","274.174","275.031","276.360","272.621","-0.31%"
"Oct 29, 2019","275.026","274.806","275.844","273.626","0.08%"
"Oct 28, 2019","274.805","279.179","279.612","274.041","-1.57%"
"Oct 27, 2019","279.177","278.948","279.200","278.597","-0.06%"
"Oct 25, 2019","279.357","278.626","281.429","278.220","0.25%"
"Oct 24, 2019","278.651","275.286","278.855","274.628","1.22%"
"Oct 23, 2019","275.286","277.766","278.263","274.632","-0.89%"
"Oct 22, 2019","277.759","279.609","279.916","276.197","-0.66%"
"Oct 21, 2019","279.609","278.097","280.350","277.398","0.54%"
"Oct 20, 2019","278.098","277.990","278.124","277.780","0.23%"
"Oct 18, 2019","277.472","279.252","279.460","275.664","-0.65%"
"Oct 17, 2019","279.274","281.897","285.038","278.983","-0.93%"
"Oct 16, 2019","281.907","282.267","282.960","280.167","-0.13%"
"Oct 15, 2019","282.276","284.362","285.005","279.867","-0.72%"
"Oct 14, 2019","284.319","281.388","285.572","281.278","1.03%"
