Ortam,Saat,Bos,El Tepki
24.5,8:30,0.62,0.626
24.9,8:45,0.616,0.621
25.1,9:00,0.614,0.618
25.4,9:15,0.612,0.618
25.5,9:30,0.612,0.617
25.6,9:45,0.611,0.617
26,10:00,0.61,0.615
26.3,10:15,0.61,0.615
26.5,10:30,0.61,0.615
26.7,10:45,0.61,0.615
27,11:00,0.609,0.614
27.3,11:15,0.609,0.615
27.4,11:30,0.609,0.614
27.6,11:45,0.608,0.612
27.9,12:00,0.608,0.612
28.1,12:15,0.608,0.612
28.4,12:30,0.608,0.612
28.8,12:45,0.607,0.612
28.6,13:00,0.607,0.612
28.9,13:15,0.607,0.612
27.1,13:30,0.608,0.612
25.8,13:45,0.609,0.613
