"Date","Price","Open","High","Low","Change %"
"Dec 13, 2020","1.3240","1.3237","1.3247","1.3232","-0.23%"
"Dec 11, 2020","1.3271","1.3273","1.3298","1.3204","0.00%"
"Dec 10, 2020","1.3271","1.3425","1.3467","1.3261","-1.17%"
"Dec 09, 2020","1.3428","1.3491","1.3507","1.3357","-0.46%"
"Dec 08, 2020","1.3490","1.3475","1.3516","1.3447","0.13%"
"Dec 07, 2020","1.3473","1.3450","1.3566","1.3414","0.07%"
"Dec 04, 2020","1.3464","1.3442","1.3496","1.3432","0.19%"
"Dec 03, 2020","1.3439","1.3490","1.3519","1.3422","-0.31%"
"Dec 02, 2020","1.3481","1.3567","1.3605","1.3475","-0.59%"
"Dec 01, 2020","1.3561","1.3614","1.3624","1.3560","-0.37%"
"Nov 30, 2020","1.3611","1.3527","1.3626","1.3498","0.56%"
"Nov 27, 2020","1.3535","1.3583","1.3604","1.3513","-0.33%"
"Nov 26, 2020","1.3580","1.3579","1.3601","1.3557","0.01%"
"Nov 25, 2020","1.3578","1.3585","1.3653","1.3560","-0.04%"
"Nov 24, 2020","1.3583","1.3725","1.3730","1.3571","-1.02%"
"Nov 23, 2020","1.3723","1.3689","1.3765","1.3627","0.26%"
"Nov 20, 2020","1.3687","1.3721","1.3764","1.3651","-0.21%"
"Nov 19, 2020","1.3716","1.3688","1.3786","1.3685","0.22%"
"Nov 18, 2020","1.3686","1.3698","1.3752","1.3638","-0.04%"
"Nov 17, 2020","1.3691","1.3663","1.3720","1.3623","0.22%"
"Nov 16, 2020","1.3661","1.3769","1.3786","1.3647","-0.68%"
"Nov 13, 2020","1.3755","1.3828","1.3850","1.3747","-0.51%"
"Nov 12, 2020","1.3826","1.3734","1.3845","1.3709","0.69%"
"Nov 11, 2020","1.3731","1.3728","1.3775","1.3662","0.04%"
"Nov 10, 2020","1.3725","1.3725","1.3789","1.3707","0.00%"
"Nov 09, 2020","1.3725","1.3783","1.3783","1.3622","-0.34%"
