"Date","Price","Open","High","Low","Change %"
"Oct 04, 1999","1.5145","1.5177","1.5145","1.5177","-0.73%"
"Oct 01, 1999","1.5257","1.5263","1.5257","1.5263","-0.44%"
"Sep 30, 1999","1.5325","1.5319","1.5325","1.5319","-0.01%"
"Sep 29, 1999","1.5326","1.5298","1.5326","1.5298","0.53%"
"Sep 28, 1999","1.5245","1.5265","1.5245","1.5265","-0.44%"
"Sep 27, 1999","1.5312","1.5288","1.5312","1.5288","-0.23%"
"Sep 24, 1999","1.5347","1.5314","1.5347","1.5314","-0.38%"
"Sep 23, 1999","1.5406","1.5401","1.5406","1.5401","0.24%"
"Sep 22, 1999","1.5369","1.5359","1.5369","1.5359","-0.34%"
"Sep 21, 1999","1.5421","1.5418","1.5421","1.5418","-0.90%"
"Sep 20, 1999","1.5561","1.5521","1.5561","1.5521","0.79%"
"Sep 17, 1999","1.5439","1.5413","1.5439","1.5413","-0.10%"
"Sep 16, 1999","1.5455","1.5454","1.5455","1.5454","0.36%"
"Sep 15, 1999","1.5400","1.5408","1.5400","1.5408","0.60%"
"Sep 14, 1999","1.5308","1.5279","1.5308","1.5279","0.55%"
"Sep 13, 1999","1.5224","1.5205","1.5224","1.5205","-0.85%"
"Sep 10, 1999","1.5354","1.5354","1.5354","1.5354","0.25%"
"Sep 09, 1999","1.5316","1.5316","1.5316","1.5316","-0.67%"
"Sep 08, 1999","1.5420","1.5408","1.5420","1.5408","-0.03%"
"Sep 07, 1999","1.5424","1.5444","1.5424","1.5444","-0.57%"
"Sep 06, 1999","1.5512","1.5528","1.5512","1.5528","0.06%"
"Sep 03, 1999","1.5502","1.5504","1.5502","1.5504","-0.06%"
"Sep 02, 1999","1.5512","1.5513","1.5512","1.5513","-0.90%"
"Sep 01, 1999","1.5653","1.5632","1.5653","1.5632","-0.08%"
"Aug 31, 1999","1.5665","1.5686","1.5665","1.5686","-0.98%"
"Aug 27, 1999","1.5820","1.5810","1.5820","1.5810","-0.26%"
"Aug 26, 1999","1.5862","1.5848","1.5862","1.5848","0.30%"
"Aug 25, 1999","1.5814","1.5815","1.5814","1.5815","0.78%"
"Aug 24, 1999","1.5691","1.5686","1.5691","1.5686","-0.34%"
"Aug 23, 1999","1.5744","1.5718","1.5744","1.5718","0.17%"
"Aug 20, 1999","1.5717","1.5694","1.5717","1.5694","-0.07%"
"Aug 19, 1999","1.5728","1.5686","1.5728","1.5686","1.89%"
"Aug 18, 1999","1.5437","1.5437","1.5437","1.5437","0.13%"
"Aug 17, 1999","1.5417","1.5423","1.5417","1.5423","0.08%"
"Aug 16, 1999","1.5404","1.5380","1.5404","1.5380","0.46%"
"Aug 13, 1999","1.5334","1.5342","1.5334","1.5342","-0.49%"
"Aug 12, 1999","1.5410","1.5415","1.5410","1.5415","0.03%"
"Aug 11, 1999","1.5406","1.5423","1.5406","1.5423","0.39%"
"Aug 10, 1999","1.5346","1.5352","1.5346","1.5352","0.30%"
"Aug 09, 1999","1.5300","1.5316","1.5300","1.5316","-0.06%"
"Aug 06, 1999","1.5309","1.5298","1.5309","1.5298","0.18%"
"Aug 05, 1999","1.5281","1.5265","1.5281","1.5265","0.57%"
"Aug 04, 1999","1.5194","1.5207","1.5194","1.5207","-0.63%"
"Aug 03, 1999","1.5291","1.5291","1.5291","1.5291","-0.60%"
"Aug 02, 1999","1.5384","1.5396","1.5384","1.5396","-1.86%"
"Jul 30, 1999","1.5675","1.5980","1.5675","1.5980","1.81%"
"Jul 29, 1999","1.5397","1.5423","1.5397","1.5423","-0.59%"
"Jul 28, 1999","1.5489","1.5518","1.5489","1.5518","-0.21%"
"Jul 27, 1999","1.5522","1.5540","1.5522","1.5540","0.49%"
"Jul 26, 1999","1.5446","1.5420","1.5446","1.5420","0.27%"
"Jul 23, 1999","1.5405","1.5378","1.5405","1.5378","-0.21%"
"Jul 22, 1999","1.5438","1.5444","1.5438","1.5444","-0.10%"
"Jul 21, 1999","1.5453","1.5461","1.5453","1.5461","0.10%"
"Jul 20, 1999","1.5437","1.5387","1.5437","1.5387","0.43%"
"Jul 19, 1999","1.5371","1.5359","1.5371","1.5359","1.45%"
"Jul 16, 1999","1.5152","1.5154","1.5152","1.5154","0.31%"
"Jul 15, 1999","1.5105","1.5081","1.5105","1.5081","-0.50%"
"Jul 14, 1999","1.5181","1.5145","1.5181","1.5145","0.00%"
"Jul 13, 1999","1.5181","1.5179","1.5181","1.5179","0.45%"
"Jul 12, 1999","1.5113","1.5097","1.5113","1.5097","0.65%"
"Jul 09, 1999","1.5015","1.5011","1.5015","1.5011","-0.03%"
"Jul 08, 1999","1.5019","1.5044","1.5019","1.5044","-0.13%"
"Jul 07, 1999","1.5039","1.5090","1.5039","1.5090","-0.21%"
"Jul 06, 1999","1.5071","1.5015","1.5071","1.5015","0.37%"
"Jul 05, 1999","1.5016","1.5011","1.5016","1.5011","0.45%"
"Jul 02, 1999","1.4949","1.4932","1.4949","1.4932","-0.37%"
"Jul 01, 1999","1.5004","1.4997","1.5004","1.4997","-0.18%"
"Jun 30, 1999","1.5031","1.5092","1.5031","1.5092","-1.24%"
"Jun 29, 1999","1.5219","1.5205","1.5219","1.5205","0.07%"
"Jun 28, 1999","1.5209","1.5198","1.5209","1.5198","0.69%"
"Jun 25, 1999","1.5105","1.5099","1.5105","1.5099","-0.55%"
"Jun 24, 1999","1.5188","1.5179","1.5188","1.5179","-0.24%"
"Jun 23, 1999","1.5225","1.5239","1.5225","1.5239","-0.57%"
"Jun 22, 1999","1.5313","1.5328","1.5313","1.5328","-0.37%"
"Jun 21, 1999","1.5370","1.5342","1.5370","1.5342","0.38%"
"Jun 18, 1999","1.5312","1.5286","1.5312","1.5286","0.67%"
"Jun 17, 1999","1.5210","1.5207","1.5210","1.5207","-0.18%"
"Jun 16, 1999","1.5238","1.5230","1.5238","1.5230","0.26%"
"Jun 15, 1999","1.5199","1.5198","1.5199","1.5198","0.86%"
"Jun 14, 1999","1.5069","1.5065","1.5069","1.5065","0.25%"
"Jun 11, 1999","1.5032","1.5033","1.5032","1.5033","-0.47%"
"Jun 10, 1999","1.5103","1.5081","1.5103","1.5081","-0.43%"
"Jun 09, 1999","1.5168","1.5145","1.5168","1.5145","-0.18%"
"Jun 08, 1999","1.5196","1.5181","1.5196","1.5181","0.10%"
"Jun 07, 1999","1.5181","1.5186","1.5181","1.5186","-0.34%"
"Jun 04, 1999","1.5233","1.5284","1.5233","1.5284","-1.23%"
"Jun 03, 1999","1.5423","1.5444","1.5423","1.5444","-0.63%"
"Jun 02, 1999","1.5521","1.5523","1.5521","1.5523","-0.15%"
"Jun 01, 1999","1.5544","1.5545","1.5544","1.5545","1.40%"
"May 28, 1999","1.5329","1.5323","1.5329","1.5323","-0.51%"
"May 27, 1999","1.5408","1.5394","1.5408","1.5394","-0.10%"
"May 26, 1999","1.5423","1.5411","1.5423","1.5411","0.74%"
"May 25, 1999","1.5309","1.5209","1.5309","1.5209","0.88%"
"May 24, 1999","1.5176","1.5165","1.5176","1.5165","0.05%"
"May 21, 1999","1.5168","1.5122","1.5168","1.5122","0.32%"
"May 20, 1999","1.5120","1.5097","1.5120","1.5097","-0.02%"
"May 19, 1999","1.5123","1.5081","1.5123","1.5081","1.12%"
"May 18, 1999","1.4956","1.4892","1.4956","1.4892","-0.54%"
"May 17, 1999","1.5037","1.5026","1.5037","1.5026","0.01%"
"May 14, 1999","1.5036","1.5004","1.5036","1.5004","0.37%"
"May 13, 1999","1.4980","1.4981","1.4980","1.4981","-0.08%"
"May 12, 1999","1.4992","1.4981","1.4992","1.4981","0.57%"
"May 11, 1999","1.4907","1.4877","1.4907","1.4877","-0.45%"
"May 10, 1999","1.4974","1.4937","1.4974","1.4937","0.45%"
"May 07, 1999","1.4907","1.4930","1.4907","1.4930","-0.07%"
"May 06, 1999","1.4917","1.4910","1.4917","1.4910","-1.16%"
"May 05, 1999","1.5092","1.5117","1.5092","1.5117","-0.27%"
"May 04, 1999","1.5133","1.5101","1.5133","1.5101","0.15%"
"Apr 30, 1999","1.5111","1.5094","1.5111","1.5094","-0.33%"
"Apr 29, 1999","1.5161","1.5172","1.5161","1.5172","-0.88%"
"Apr 28, 1999","1.5295","1.5302","1.5295","1.5302","-0.60%"
"Apr 27, 1999","1.5388","1.5373","1.5388","1.5373","-0.24%"
"Apr 26, 1999","1.5425","1.5430","1.5425","1.5430","0.59%"
"Apr 23, 1999","1.5335","1.5314","1.5335","1.5314","-0.18%"
"Apr 22, 1999","1.5362","1.5375","1.5362","1.5375","-0.70%"
"Apr 21, 1999","1.5471","1.5463","1.5471","1.5463","0.16%"
"Apr 20, 1999","1.5446","1.5415","1.5446","1.5415","0.63%"
"Apr 19, 1999","1.5349","1.5347","1.5349","1.5347","-0.70%"
"Apr 16, 1999","1.5457","1.5456","1.5457","1.5456","-1.02%"
"Apr 15, 1999","1.5616","1.5679","1.5616","1.5679","-0.57%"
"Apr 14, 1999","1.5706","1.5652","1.5706","1.5652","0.04%"
"Apr 13, 1999","1.5700","1.5684","1.5700","1.5684","-0.29%"
