"Date","Price","Open","High","Low","Change %"
"Dec 13, 2020","0.8238","0.8241","0.8242","0.8238","-0.19%"
"Dec 11, 2020","0.8254","0.8239","0.8261","0.8221","0.21%"
"Dec 10, 2020","0.8237","0.8276","0.8282","0.8224","-0.47%"
"Dec 09, 2020","0.8276","0.8263","0.8293","0.8231","0.18%"
"Dec 08, 2020","0.8261","0.8257","0.8268","0.8241","0.05%"
"Dec 07, 2020","0.8257","0.8245","0.8280","0.8219","0.11%"
"Dec 04, 2020","0.8248","0.8234","0.8257","0.8211","0.17%"
"Dec 03, 2020","0.8234","0.8253","0.8264","0.8213","-0.23%"
"Dec 02, 2020","0.8253","0.8285","0.8306","0.8251","-0.37%"
"Dec 01, 2020","0.8284","0.8383","0.8385","0.8280","-1.16%"
"Nov 30, 2020","0.8381","0.8363","0.8387","0.8330","0.28%"
"Nov 27, 2020","0.8358","0.8395","0.8399","0.8357","-0.41%"
"Nov 26, 2020","0.8392","0.8392","0.8414","0.8374","0.00%"
"Nov 25, 2020","0.8392","0.8411","0.8417","0.8382","-0.19%"
"Nov 24, 2020","0.8408","0.8444","0.8449","0.8406","-0.44%"
"Nov 23, 2020","0.8445","0.8436","0.8475","0.8399","0.13%"
"Nov 20, 2020","0.8434","0.8421","0.8439","0.8409","0.17%"
"Nov 19, 2020","0.8420","0.8436","0.8463","0.8415","-0.18%"
"Nov 18, 2020","0.8435","0.8429","0.8440","0.8409","0.08%"
"Nov 17, 2020","0.8428","0.8438","0.8444","0.8407","-0.08%"
"Nov 16, 2020","0.8435","0.8454","0.8465","0.8425","-0.17%"
"Nov 13, 2020","0.8449","0.8471","0.8476","0.8447","-0.24%"
"Nov 12, 2020","0.8469","0.8492","0.8505","0.8458","-0.25%"
"Nov 11, 2020","0.8490","0.8468","0.8515","0.8450","0.33%"
"Nov 10, 2020","0.8462","0.8466","0.8489","0.8443","-0.02%"
"Nov 09, 2020","0.8464","0.8417","0.8479","0.8389","0.52%"
