"Date","Price","Open","High","Low","Change %"
"Dec 11, 2020","0.7560","0.7521","0.7613","0.7504","0.52%"
"Dec 10, 2020","0.7521","0.7461","0.7550","0.7455","0.78%"
"Dec 09, 2020","0.7463","0.7488","0.7491","0.7419","-0.32%"
"Dec 08, 2020","0.7487","0.7475","0.7525","0.7466","0.19%"
"Dec 07, 2020","0.7473","0.7436","0.7562","0.7436","0.46%"
"Dec 04, 2020","0.7439","0.7437","0.7456","0.7385","0.03%"
"Dec 03, 2020","0.7437","0.7484","0.7489","0.7407","-0.59%"
"Dec 02, 2020","0.7481","0.7450","0.7527","0.7439","0.38%"
"Dec 01, 2020","0.7453","0.7505","0.7510","0.7439","-0.69%"
"Nov 30, 2020","0.7505","0.7511","0.7516","0.7470","-0.05%"
"Nov 27, 2020","0.7509","0.7487","0.7526","0.7473","0.33%"
"Nov 26, 2020","0.7484","0.7476","0.7507","0.7463","0.19%"
"Nov 25, 2020","0.7470","0.7484","0.7516","0.7466","-0.17%"
"Nov 24, 2020","0.7483","0.7505","0.7523","0.7473","-0.29%"
"Nov 23, 2020","0.7505","0.7534","0.7539","0.7463","-0.29%"
"Nov 20, 2020","0.7527","0.7541","0.7551","0.7520","-0.16%"
"Nov 19, 2020","0.7539","0.7533","0.7578","0.7530","0.08%"
"Nov 18, 2020","0.7533","0.7551","0.7552","0.7512","-0.20%"
"Nov 17, 2020","0.7548","0.7578","0.7583","0.7534","-0.37%"
"Nov 16, 2020","0.7576","0.7588","0.7598","0.7551","-0.08%"
"Nov 13, 2020","0.7582","0.7623","0.7629","0.7574","-0.54%"
"Nov 12, 2020","0.7623","0.7563","0.7631","0.7559","0.82%"
"Nov 11, 2020","0.7561","0.7536","0.7582","0.7513","0.39%"
"Nov 10, 2020","0.7532","0.7597","0.7602","0.7531","-0.84%"
"Nov 09, 2020","0.7596","0.7597","0.7624","0.7570","-0.04%"
"Nov 06, 2020","0.7599","0.7607","0.7638","0.7588","-0.09%"
"Nov 05, 2020","0.7606","0.7699","0.7734","0.7602","-1.20%"
"Nov 04, 2020","0.7698","0.7657","0.7743","0.7610","0.55%"
"Nov 03, 2020","0.7656","0.7741","0.7750","0.7645","-1.07%"
"Nov 02, 2020","0.7739","0.7724","0.7780","0.7720","0.18%"
"Oct 30, 2020","0.7725","0.7735","0.7753","0.7699","-0.13%"
"Oct 29, 2020","0.7735","0.7699","0.7764","0.7677","0.44%"
"Oct 28, 2020","0.7701","0.7665","0.7742","0.7654","0.47%"
"Oct 27, 2020","0.7665","0.7681","0.7692","0.7645","-0.17%"
