"Date","Price","Open","High","Low","Change %"
"Oct 04, 1999","0.6045","0.6045","0.6045","0.6045","0.02%"
"Oct 01, 1999","0.6044","0.6042","0.6044","0.6042","-0.46%"
"Sep 30, 1999","0.6072","0.6073","0.6072","0.6073","-0.20%"
"Sep 29, 1999","0.6084","0.6084","0.6084","0.6084","0.33%"
"Sep 28, 1999","0.6064","0.6061","0.6064","0.6061","-0.23%"
"Sep 27, 1999","0.6078","0.6080","0.6078","0.6080","-0.16%"
"Sep 24, 1999","0.6088","0.6090","0.6088","0.6090","-0.03%"
"Sep 23, 1999","0.6090","0.6101","0.6090","0.6101","-0.52%"
"Sep 22, 1999","0.6122","0.6105","0.6122","0.6105","-0.13%"
"Sep 21, 1999","0.6130","0.6132","0.6130","0.6132","-0.60%"
"Sep 20, 1999","0.6167","0.6168","0.6167","0.6168","0.10%"
"Sep 17, 1999","0.6161","0.6161","0.6161","0.6161","0.02%"
"Sep 16, 1999","0.6160","0.6159","0.6160","0.6159","-0.65%"
"Sep 15, 1999","0.6200","0.6202","0.6200","0.6202","-0.35%"
"Sep 14, 1999","0.6222","0.6224","0.6222","0.6224","0.06%"
"Sep 13, 1999","0.6218","0.6214","0.6218","0.6214","0.78%"
"Sep 10, 1999","0.6170","0.6160","0.6170","0.6160","0.70%"
"Sep 09, 1999","0.6127","0.6136","0.6127","0.6136","-0.78%"
"Sep 08, 1999","0.6175","0.6174","0.6175","0.6174","-0.90%"
"Sep 07, 1999","0.6231","0.6225","0.6231","0.6225","0.03%"
"Sep 06, 1999","0.6229","0.6235","0.6229","0.6235","-0.13%"
"Sep 03, 1999","0.6237","0.6233","0.6237","0.6233","0.37%"
"Sep 02, 1999","0.6214","0.6207","0.6214","0.6207","-0.34%"
"Sep 01, 1999","0.6235","0.6234","0.6235","0.6234","0.11%"
"Aug 31, 1999","0.6228","0.6218","0.6228","0.6218","-1.13%"
"Aug 27, 1999","0.6299","0.6298","0.6299","0.6298","-0.08%"
"Aug 26, 1999","0.6304","0.6304","0.6304","0.6304","0.02%"
"Aug 25, 1999","0.6303","0.6295","0.6303","0.6295","0.59%"
"Aug 24, 1999","0.6266","0.6260","0.6266","0.6260","0.63%"
"Aug 23, 1999","0.6227","0.6206","0.6227","0.6206","0.60%"
"Aug 20, 1999","0.6190","0.6184","0.6190","0.6184","0.13%"
"Aug 19, 1999","0.6182","0.6179","0.6182","0.6179","-0.91%"
"Aug 18, 1999","0.6239","0.6231","0.6239","0.6231","-0.08%"
"Aug 17, 1999","0.6244","0.6251","0.6244","0.6251","0.03%"
"Aug 16, 1999","0.6242","0.6237","0.6242","0.6237","0.16%"
"Aug 13, 1999","0.6232","0.6229","0.6232","0.6229","0.34%"
"Aug 12, 1999","0.6211","0.6214","0.6211","0.6214","0.08%"
"Aug 11, 1999","0.6206","0.6211","0.6206","0.6211","0.16%"
"Aug 10, 1999","0.6196","0.6199","0.6196","0.6199","-0.53%"
"Aug 09, 1999","0.6229","0.6234","0.6229","0.6234","0.44%"
"Aug 06, 1999","0.6202","0.6185","0.6202","0.6185","0.21%"
"Aug 05, 1999","0.6189","0.6178","0.6189","0.6178","0.36%"
"Aug 04, 1999","0.6167","0.6161","0.6167","0.6161","-0.23%"
"Aug 03, 1999","0.6181","0.6189","0.6181","0.6189","-0.16%"
"Aug 02, 1999","0.6191","0.6194","0.6191","0.6194","0.32%"
"Jul 30, 1999","0.6171","0.6172","0.6171","0.6172","-0.36%"
"Jul 29, 1999","0.6193","0.6202","0.6193","0.6202","-1.34%"
"Jul 28, 1999","0.6277","0.6291","0.6277","0.6291","-0.25%"
"Jul 27, 1999","0.6293","0.6298","0.6293","0.6298","0.13%"
"Jul 26, 1999","0.6285","0.6283","0.6285","0.6283","-0.87%"
"Jul 23, 1999","0.6340","0.6342","0.6340","0.6342","0.32%"
"Jul 22, 1999","0.6320","0.6317","0.6320","0.6317","-0.39%"
"Jul 21, 1999","0.6345","0.6354","0.6345","0.6354","-0.28%"
"Jul 20, 1999","0.6363","0.6365","0.6363","0.6365","-0.05%"
"Jul 19, 1999","0.6366","0.6406","0.6366","0.6406","-0.45%"
"Jul 16, 1999","0.6395","0.6387","0.6395","0.6387","0.20%"
"Jul 15, 1999","0.6382","0.6374","0.6382","0.6374","-0.23%"
"Jul 14, 1999","0.6397","0.6400","0.6397","0.6400","-0.40%"
"Jul 13, 1999","0.6423","0.6425","0.6423","0.6425","-0.03%"
