"Date","Price","Open","High","Low","Change %"
"Feb 20, 2009","1.7025","1.6951","1.7183","1.6925","0.15%"
"Feb 19, 2009","1.7000","1.7009","1.7038","1.6680","0.09%"
"Feb 18, 2009","1.6985","1.7071","1.7174","1.6805","-0.31%"
"Feb 17, 2009","1.7037","1.6686","1.7037","1.6677","2.07%"
"Feb 16, 2009","1.6691","1.6485","1.6731","1.6455","1.31%"
"Feb 13, 2009","1.6475","1.6555","1.6555","1.6350","-0.68%"
"Feb 12, 2009","1.6587","1.6341","1.6652","1.6280","1.41%"
"Feb 11, 2009","1.6357","1.6413","1.6450","1.6270","-0.37%"
"Feb 10, 2009","1.6417","1.6150","1.6423","1.6096","1.75%"
"Feb 09, 2009","1.6134","1.6187","1.6245","1.6040","-0.22%"
"Feb 06, 2009","1.6170","1.6275","1.6354","1.6127","-0.59%"
"Feb 05, 2009","1.6266","1.6440","1.6457","1.6229","-1.08%"
"Feb 04, 2009","1.6443","1.6366","1.6463","1.6255","0.30%"
"Feb 03, 2009","1.6394","1.6519","1.6580","1.6363","-0.63%"
"Feb 02, 2009","1.6498","1.6462","1.6690","1.6452","0.40%"
"Jan 30, 2009","1.6433","1.6361","1.6525","1.6241","0.32%"
"Jan 29, 2009","1.6381","1.6166","1.6385","1.6096","1.29%"
"Jan 28, 2009","1.6172","1.6277","1.6300","1.6094","-0.51%"
"Jan 27, 2009","1.6255","1.6267","1.6451","1.6025","-0.40%"
"Jan 26, 2009","1.6320","1.6693","1.6752","1.6167","-2.28%"
"Jan 23, 2009","1.6700","1.6526","1.6841","1.6512","1.06%"
"Jan 22, 2009","1.6525","1.6435","1.6629","1.6347","0.27%"
"Jan 21, 2009","1.6480","1.6709","1.6754","1.6447","-1.46%"
"Jan 20, 2009","1.6724","1.6463","1.6791","1.6444","1.62%"
"Jan 19, 2009","1.6457","1.6206","1.6532","1.6126","0.96%"
"Jan 16, 2009","1.6300","1.6082","1.6421","1.5901","1.34%"
"Jan 15, 2009","1.6085","1.6270","1.6313","1.6026","-1.02%"
"Jan 14, 2009","1.6250","1.5931","1.6316","1.5771","1.82%"
"Jan 13, 2009","1.5960","1.6012","1.6119","1.5854","-0.24%"
"Jan 12, 2009","1.5999","1.5648","1.6048","1.5596","2.52%"
