"Date","Price","Open","High","Low","Change %"
"Dec 22, 2020","25.291","26.252","26.578","25.079","-3.33%"
"Dec 21, 2020","26.163","25.795","27.405","24.970","1.53%"
"Dec 18, 2020","25.768","26.060","26.135","25.655","-1.08%"
"Dec 17, 2020","26.050","25.375","26.100","25.160","2.82%"
"Dec 16, 2020","25.336","24.520","25.505","24.443","3.48%"
"Dec 15, 2020","24.483","23.840","24.575","23.810","2.79%"
"Dec 14, 2020","23.818","23.935","24.240","23.675","-0.40%"
"Dec 11, 2020","23.912","23.975","24.125","23.600","-0.16%"
"Dec 10, 2020","23.949","23.944","24.290","23.720","0.12%"
"Dec 09, 2020","23.921","24.560","24.594","23.590","-2.60%"
"Dec 08, 2020","24.560","24.505","24.870","24.425","0.22%"
"Dec 07, 2020","24.505","24.190","24.786","23.520","1.40%"
"Dec 04, 2020","24.166","24.085","24.410","23.930","0.42%"
"Dec 03, 2020","24.066","24.110","24.295","23.735","-0.15%"
"Dec 02, 2020","24.102","24.015","24.329","23.540","0.42%"
"Dec 01, 2020","24.002","22.635","24.061","22.581","6.18%"
"Nov 30, 2020","22.604","22.725","22.780","21.897","-0.40%"
"Nov 27, 2020","22.695","23.275","23.345","22.340","-3.22%"
"Nov 26, 2020","23.450","23.325","23.490","23.175","0.64%"
"Nov 25, 2020","23.300","23.270","23.533","23.095","0.20%"
"Nov 24, 2020","23.252","23.590","23.643","22.930","-1.37%"
"Nov 23, 2020","23.576","24.165","24.405","23.424","-2.35%"
"Nov 20, 2020","24.144","24.095","24.535","23.900","0.23%"
"Nov 19, 2020","24.090","24.315","24.385","23.630","-0.92%"
"Nov 18, 2020","24.313","24.492","24.715","24.200","-0.63%"
"Nov 17, 2020","24.468","24.780","24.815","24.365","-1.15%"
"Nov 16, 2020","24.751","24.675","25.080","24.220","0.49%"
"Nov 13, 2020","24.630","24.245","24.825","24.155","1.65%"
"Nov 12, 2020","24.230","24.275","24.405","24.040","-0.08%"
"Nov 11, 2020","24.249","24.220","24.445","23.774","0.16%"
"Nov 10, 2020","24.210","24.085","24.505","23.895","0.58%"
"Nov 09, 2020","24.070","25.615","26.006","23.575","-5.95%"
"Nov 06, 2020","25.593","25.360","25.846","24.893","1.05%"
"Nov 05, 2020","25.327","23.940","25.480","23.890","5.93%"
"Nov 04, 2020","23.910","24.180","24.501","23.240","-1.06%"
"Nov 03, 2020","24.165","24.080","24.400","23.900","0.53%"
"Nov 02, 2020","24.038","23.655","24.175","23.394","1.73%"
"Oct 30, 2020","23.630","23.245","23.825","23.174","1.53%"
"Oct 29, 2020","23.275","23.390","23.586","22.580","-0.58%"
"Oct 28, 2020","23.410","24.370","24.585","23.020","-4.64%"
"Oct 27, 2020","24.550","24.275","24.620","24.195","0.95%"
"Oct 26, 2020","24.320","24.630","24.670","24.100","-1.06%"
"Oct 23, 2020","24.580","24.720","24.865","24.405","-0.69%"
"Oct 22, 2020","24.750","25.040","25.092","24.365","-1.28%"
"Oct 21, 2020","25.070","24.655","25.290","24.650","1.72%"
"Oct 20, 2020","24.645","24.380","24.935","24.320","0.59%"
"Oct 19, 2020","24.500","24.175","24.985","24.115","1.37%"
"Oct 16, 2020","24.170","24.275","24.527","24.060","-0.58%"
"Oct 15, 2020","24.310","24.288","24.345","23.580","0.12%"
"Oct 14, 2020","24.280","24.165","24.650","23.874","0.46%"
"Oct 13, 2020","24.170","25.135","25.205","23.935","-3.74%"
"Oct 12, 2020","25.110","25.110","25.575","24.780","-0.04%"
"Oct 09, 2020","25.120","23.845","25.189","23.833","5.44%"
"Oct 08, 2020","23.825","23.875","24.220","23.660","-0.06%"
"Oct 07, 2020","23.840","23.035","23.985","23.005","3.27%"
"Oct 06, 2020","23.085","24.385","24.510","22.865","-5.20%"
"Oct 05, 2020","24.350","23.715","24.520","23.675","2.74%"
"Oct 02, 2020","23.700","23.784","24.205","23.480","-0.80%"
"Oct 01, 2020","23.890","23.225","24.175","23.215","2.93%"
"Sep 30, 2020","23.210","24.224","24.320","23.139","-3.99%"
"Sep 29, 2020","24.175","23.675","24.410","23.370","1.96%"
"Sep 28, 2020","23.710","22.876","23.737","22.515","3.72%"
"Sep 25, 2020","22.860","23.155","23.316","22.450","-1.49%"
"Sep 24, 2020","23.205","22.895","23.360","21.661","1.46%"
"Sep 23, 2020","22.870","24.400","24.480","22.595","-6.33%"
"Sep 22, 2020","24.415","24.725","25.238","23.827","-1.27%"
"Sep 21, 2020","24.730","26.797","26.967","23.716","-7.60%"
"Sep 18, 2020","26.765","27.085","27.220","26.705","-1.24%"
"Sep 17, 2020","27.100","27.315","27.315","26.311","-0.48%"
"Sep 16, 2020","27.230","27.235","27.455","26.879","-0.02%"
"Sep 15, 2020","27.235","27.147","27.633","27.002","0.29%"
"Sep 14, 2020","27.155","26.765","27.310","26.673","1.55%"
"Sep 11, 2020","26.740","26.878","27.044","26.580","-0.67%"
"Sep 10, 2020","26.920","26.989","27.493","26.680","-0.39%"
"Sep 09, 2020","27.025","26.627","27.130","26.407","1.20%"
"Sep 08, 2020","26.705","26.934","27.103","25.860","-1.09%"
"Sep 07, 2020","27.000","26.875","27.176","26.615","0.45%"
"Sep 04, 2020","26.880","26.590","27.013","26.309","0.96%"
"Sep 03, 2020","26.625","27.433","27.720","26.480","-3.16%"
"Sep 02, 2020","27.495","28.125","28.320","27.078","-2.38%"
"Sep 01, 2020","28.165","28.265","28.910","27.714","-0.19%"
"Aug 31, 2020","28.220","27.538","28.368","27.538","2.66%"
"Aug 28, 2020","27.490","27.053","27.720","26.830","1.65%"
"Aug 27, 2020","27.045","27.519","27.918","26.524","-1.73%"
"Aug 26, 2020","27.520","26.475","27.545","26.097","4.12%"
"Aug 25, 2020","26.430","26.545","26.808","26.072","-0.41%"
"Aug 24, 2020","26.540","26.764","27.245","26.257","-0.56%"
"Aug 21, 2020","26.689","27.264","27.545","26.060","-1.95%"
"Aug 20, 2020","27.220","26.715","27.528","26.605","1.87%"
"Aug 19, 2020","26.720","27.723","28.043","26.495","-3.36%"
"Aug 18, 2020","27.650","27.455","28.460","27.121","0.66%"
"Aug 17, 2020","27.470","26.642","27.571","25.830","4.01%"
"Aug 14, 2020","26.410","27.523","27.724","25.748","-4.16%"
