"Date","Price","Open","High","Low","Vol.","Change %"
"10/28/2022","19.257","19.553","19.639","18.998","","-1.66%"
"10/27/2022","19.583","19.590","19.705","19.280","","-0.19%"
"10/26/2022","19.620","19.345","19.825","19.205","","1.45%"
"10/25/2022","19.340","19.240","19.475","18.780","","0.42%"
"10/24/2022","19.260","19.427","19.680","19.013","","-0.72%"
"10/21/2022","19.400","18.735","19.430","18.275","","3.97%"
"10/20/2022","18.660","18.515","19.045","18.215","","1.19%"
"10/19/2022","18.440","18.745","18.825","18.360","","-1.71%"
"10/18/2022","18.760","18.700","18.985","18.539","","0.43%"
"10/17/2022","18.680","18.230","18.965","18.230","","2.32%"
"10/14/2022","18.257","18.880","19.085","18.080","","-3.24%"
"10/13/2022","18.868","19.050","19.345","18.455","","-1.01%"
"10/12/2022","19.060","19.175","19.320","18.859","","-0.68%"
"10/11/2022","19.190","19.620","19.735","19.060","","-2.34%"
"10/10/2022","19.650","20.180","20.192","19.500","","-2.29%"
"10/07/2022","20.110","20.666","20.835","19.994","","-2.62%"
"10/06/2022","20.650","20.690","20.880","20.358","","-0.24%"
"10/05/2022","20.700","21.057","21.080","19.940","","-1.94%"
"10/04/2022","21.110","20.685","21.255","20.600","","1.71%"
"10/03/2022","20.755","19.020","20.782","19.000","","9.24%"
"09/30/2022","19.000","18.822","19.305","18.770","","0.98%"
"09/29/2022","18.815","18.905","18.918","18.480","","-0.40%"
"09/28/2022","18.890","18.401","18.985","17.960","","2.50%"
