"Date","Price","Open","High","Low","Vol.","Change %"
"10/28/2022","1,645.07","1,661.99","1,667.10","1,638.29","","-1.07%"
"10/27/2022","1,662.94","1,664.50","1,671.09","1,654.81","","-0.09%"
"10/26/2022","1,664.49","1,653.21","1,675.12","1,649.15","","0.72%"
"10/25/2022","1,652.52","1,649.70","1,662.89","1,637.82","","0.24%"
"10/24/2022","1,648.60","1,658.19","1,670.55","1,643.64","","-0.49%"
"10/21/2022","1,656.66","1,628.10","1,659.08","1,617.21","","1.78%"
"10/20/2022","1,627.66","1,629.93","1,645.83","1,621.93","","-0.05%"
"10/19/2022","1,628.49","1,651.99","1,654.90","1,627.25","","-1.41%"
"10/18/2022","1,651.83","1,650.49","1,654.45","1,645.61","","0.11%"
"10/17/2022","1,649.94","1,644.09","1,668.69","1,643.69","","0.50%"
"10/14/2022","1,641.76","1,665.90","1,672.02","1,639.90","","-1.44%"
"10/13/2022","1,665.80","1,673.30","1,682.84","1,642.25","","-0.40%"
"10/12/2022","1,672.51","1,666.49","1,678.90","1,660.95","","0.43%"
"10/11/2022","1,665.31","1,668.40","1,684.44","1,660.45","","-0.16%"
"10/10/2022","1,667.96","1,696.80","1,700.33","1,665.30","","-1.57%"
"10/07/2022","1,694.52","1,711.10","1,715.40","1,690.35","","-0.95%"
"10/06/2022","1,710.85","1,716.06","1,726.09","1,706.53","","-0.29%"
"10/05/2022","1,715.81","1,726.42","1,728.10","1,700.15","","-0.60%"
"10/04/2022","1,726.24","1,699.40","1,729.73","1,694.73","","1.59%"
"10/03/2022","1,699.22","1,661.30","1,701.80","1,659.10","","2.38%"
"09/30/2022","1,659.67","1,661.13","1,675.57","1,658.93","","-0.04%"
"09/29/2022","1,660.29","1,659.88","1,665.12","1,641.05","","0.05%"
"09/28/2022","1,659.44","1,629.26","1,663.17","1,614.35","","1.88%"
"09/27/2022","1,628.80","1,621.99","1,642.94","1,621.77","","0.45%"
"09/26/2022","1,621.57","1,645.40","1,650.02","1,620.80","","-1.31%"
"09/23/2022","1,643.09","1,671.55","1,676.59","1,639.59","","-1.64%"
"09/22/2022","1,670.53","1,675.06","1,685.49","1,655.53","","-0.19%"
"09/21/2022","1,673.74","1,663.67","1,688.15","1,654.15","","0.64%"
"09/20/2022","1,663.11","1,675.47","1,679.34","1,659.60","","-0.76%"
"09/19/2022","1,675.78","1,675.44","1,680.16","1,659.67","","0.05%"
"09/16/2022","1,674.94","1,664.27","1,680.69","1,653.85","","0.67%"
"09/15/2022","1,663.74","1,696.06","1,698.62","1,660.04","","-1.89%"
"09/14/2022","1,695.80","1,701.86","1,707.49","1,693.26","","-0.34%"
"09/13/2022","1,701.55","1,724.75","1,732.34","1,696.70","","-1.31%"
"09/12/2022","1,724.07","1,717.05","1,735.37","1,711.97","","0.47%"
"09/09/2022","1,716.05","1,708.84","1,729.94","1,708.22","","0.51%"
"09/08/2022","1,707.28","1,718.40","1,728.80","1,703.50","","-0.61%"
"09/07/2022","1,717.69","1,701.61","1,719.82","1,690.90","","0.97%"
"09/06/2022","1,701.15","1,710.56","1,727.24","1,699.30","","-0.53%"
"09/05/2022","1,710.21","1,712.99","1,716.34","1,707.47","","-0.07%"
"09/02/2022","1,711.44","1,696.35","1,718.31","1,694.64","","0.91%"
"09/01/2022","1,696.09","1,711.09","1,711.81","1,688.35","","-0.85%"
"08/31/2022","1,710.70","1,723.83","1,726.86","1,709.10","","-0.75%"
"08/30/2022","1,723.55","1,738.36","1,740.93","1,720.85","","-0.82%"
"08/29/2022","1,737.82","1,736.19","1,745.63","1,720.08","","0.06%"
"08/26/2022","1,736.86","1,758.55","1,759.31","1,733.83","","-1.23%"
"08/25/2022","1,758.44","1,751.55","1,765.93","1,749.71","","0.43%"
"08/24/2022","1,750.89","1,748.55","1,755.88","1,742.29","","0.18%"
"08/23/2022","1,747.67","1,736.40","1,754.28","1,730.52","","0.69%"
"08/22/2022","1,735.70","1,747.05","1,749.31","1,727.51","","-0.69%"
"08/19/2022","1,747.83","1,759.30","1,759.88","1,745.19","","-0.59%"
"08/18/2022","1,758.20","1,761.63","1,772.59","1,755.37","","-0.16%"
"08/17/2022","1,761.05","1,775.98","1,782.63","1,759.58","","-0.82%"
"08/16/2022","1,775.54","1,779.74","1,783.37","1,771.33","","-0.21%"
"08/15/2022","1,779.36","1,802.05","1,802.53","1,772.75","","-1.24%"
"08/12/2022","1,801.76","1,790.06","1,802.86","1,784.52","","0.69%"
"08/11/2022","1,789.45","1,792.39","1,799.40","1,783.24","","-0.15%"
"08/10/2022","1,792.13","1,794.21","1,807.90","1,787.32","","-0.11%"
"08/09/2022","1,794.08","1,789.21","1,800.45","1,782.85","","0.31%"
"08/08/2022","1,788.52","1,773.57","1,790.26","1,770.94","","0.81%"
"08/05/2022","1,774.15","1,791.16","1,795.29","1,764.88","","-0.94%"
"08/04/2022","1,790.97","1,765.34","1,795.29","1,763.00","","1.48%"
"08/03/2022","1,764.90","1,760.53","1,772.90","1,754.33","","0.29%"
"08/02/2022","1,759.75","1,772.23","1,788.24","1,759.86","","-0.68%"
"08/01/2022","1,771.73","1,765.05","1,775.22","1,758.05","","0.37%"
"07/29/2022","1,765.22","1,755.81","1,768.17","1,752.19","","0.58%"
"07/28/2022","1,755.11","1,734.61","1,757.43","1,733.59","","1.22%"
"07/27/2022","1,733.89","1,717.41","1,740.60","1,711.46","","0.98%"
"07/26/2022","1,717.00","1,719.69","1,728.36","1,713.20","","-0.10%"
"07/25/2022","1,718.78","1,728.15","1,736.43","1,714.57","","-0.44%"
"07/22/2022","1,726.46","1,718.61","1,739.28","1,712.93","","0.46%"
"07/21/2022","1,718.49","1,696.73","1,720.69","1,680.78","","1.30%"
"07/20/2022","1,696.43","1,711.30","1,714.94","1,692.53","","-0.86%"
"07/19/2022","1,711.07","1,709.27","1,718.64","1,704.96","","0.12%"
"07/18/2022","1,709.01","1,707.94","1,724.05","1,705.89","","0.13%"
"07/15/2022","1,706.78","1,709.81","1,716.92","1,698.82","","-0.16%"
"07/14/2022","1,709.45","1,735.70","1,736.94","1,697.48","","-1.49%"
"07/13/2022","1,735.23","1,726.17","1,745.54","1,707.38","","0.55%"
"07/12/2022","1,725.81","1,733.99","1,743.49","1,722.93","","-0.45%"
"07/11/2022","1,733.67","1,742.86","1,744.92","1,731.01","","-0.47%"
"07/08/2022","1,741.82","1,740.05","1,752.50","1,733.24","","0.13%"
"07/07/2022","1,739.61","1,738.93","1,749.14","1,735.95","","0.08%"
"07/06/2022","1,738.30","1,764.87","1,773.06","1,731.75","","-1.48%"
"07/05/2022","1,764.35","1,808.74","1,812.42","1,763.48","","-2.47%"
"07/04/2022","1,809.12","1,812.27","1,814.36","1,803.45","","-0.06%"
"07/01/2022","1,810.18","1,807.31","1,812.09","1,784.10","","0.18%"
"06/30/2022","1,806.89","1,817.80","1,825.90","1,802.20","","-0.56%"
"06/29/2022","1,817.11","1,819.95","1,833.24","1,812.10","","-0.14%"
"06/28/2022","1,819.69","1,822.85","1,830.09","1,818.20","","-0.17%"
"06/27/2022","1,822.73","1,838.15","1,841.34","1,820.40","","-0.19%"
"06/24/2022","1,826.18","1,822.88","1,832.15","1,816.70","","0.21%"
"06/23/2022","1,822.43","1,837.87","1,846.19","1,821.88","","-0.81%"
"06/22/2022","1,837.39","1,832.96","1,848.44","1,823.23","","0.26%"
"06/21/2022","1,832.56","1,838.37","1,844.15","1,828.29","","-0.31%"
"06/20/2022","1,838.29","1,840.40","1,846.42","1,834.49","","-0.06%"
"06/17/2022","1,839.35","1,857.34","1,858.29","1,833.72","","-0.93%"
"06/16/2022","1,856.71","1,833.99","1,857.91","1,815.95","","1.27%"
"06/15/2022","1,833.38","1,808.35","1,841.74","1,807.24","","1.40%"
"06/14/2022","1,808.10","1,819.10","1,832.19","1,804.65","","-0.59%"
"06/13/2022","1,818.77","1,875.80","1,877.38","1,818.90","","-2.79%"
"06/10/2022","1,870.96","1,848.09","1,876.47","1,825.02","","1.26%"
"06/09/2022","1,847.61","1,853.53","1,855.52","1,839.60","","-0.30%"
"06/08/2022","1,853.26","1,852.51","1,859.90","1,844.35","","0.07%"
"06/07/2022","1,851.97","1,841.60","1,855.86","1,836.73","","0.60%"
"06/06/2022","1,841.00","1,850.29","1,858.15","1,840.50","","-0.53%"
"06/03/2022","1,850.77","1,868.53","1,874.30","1,847.02","","-0.93%"
"06/02/2022","1,868.13","1,846.44","1,870.69","1,843.76","","1.22%"
"06/01/2022","1,845.55","1,837.37","1,850.40","1,828.28","","0.46%"
"05/31/2022","1,837.09","1,856.40","1,857.69","1,834.90","","-1.03%"
"05/30/2022","1,856.21","1,852.19","1,864.34","1,847.92","","0.19%"
"05/27/2022","1,852.73","1,850.48","1,862.30","1,847.76","","0.16%"
"05/26/2022","1,849.82","1,853.48","1,854.71","1,841.14","","-0.16%"
"05/25/2022","1,852.83","1,865.09","1,868.40","1,842.94","","-0.70%"
"05/24/2022","1,865.90","1,853.59","1,869.99","1,849.06","","0.68%"
"05/23/2022","1,853.22","1,846.53","1,865.65","1,844.08","","0.41%"
"05/20/2022","1,845.68","1,842.12","1,849.59","1,832.35","","0.22%"
"05/19/2022","1,841.72","1,816.60","1,849.46","1,810.55","","1.44%"
"05/18/2022","1,815.61","1,815.20","1,825.02","1,807.30","","0.05%"
"05/17/2022","1,814.67","1,824.18","1,836.55","1,812.68","","-0.50%"
"05/16/2022","1,823.79","1,811.05","1,827.23","1,786.95","","0.70%"
"05/13/2022","1,811.15","1,822.48","1,829.06","1,799.24","","-0.58%"
"05/12/2022","1,821.65","1,852.58","1,859.30","1,820.93","","-1.65%"
"05/11/2022","1,852.12","1,838.41","1,857.99","1,831.83","","0.76%"
"05/10/2022","1,838.14","1,853.74","1,865.76","1,835.46","","-0.85%"
"05/09/2022","1,853.92","1,883.80","1,885.95","1,851.36","","-1.54%"
"05/06/2022","1,882.96","1,877.30","1,892.93","1,865.84","","0.32%"
"05/05/2022","1,877.01","1,881.47","1,910.03","1,872.48","","-0.22%"
"05/04/2022","1,881.21","1,868.04","1,889.74","1,861.17","","0.72%"
"05/03/2022","1,867.79","1,863.05","1,878.19","1,850.33","","0.27%"
